Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.061728681087494,0.568,0.9116000804901123,0.676
2.0,0.8027935417175293,0.7064,0.7167876657485962,0.7476
3.0,0.6797617441177368,0.7566,0.6350405494689941,0.7824
4.0,0.6624016484260559,0.7612,0.6502513415575027,0.7568
5.0,0.5921877735137939,0.7906,0.49939257946014404,0.8288
6.0,0.5526056994438171,0.8024,0.5190735478162766,0.816
7.0,0.5121969403266907,0.8174,0.5606925504684448,0.7932
8.0,0.49550385637283323,0.8326,0.5273115173339844,0.8104
9.0,0.43189631452560423,0.8498,0.5170053070068359,0.808
10.0,0.4166825229167938,0.8562,0.521610579496622,0.8428
11.0,0.3860191440582275,0.8658,0.5506500000953675,0.8296
12.0,0.35582616386413574,0.877,0.6109615589141846,0.7684
13.0,0.3484815501213074,0.8758,0.4937576629400253,0.8364
14.0,0.3201896492958069,0.8942,0.40778001656532287,0.8692
15.0,0.3019305364608765,0.8972,0.49422146854400634,0.838
16.0,0.2809044767856598,0.9048,0.41798439752352423,0.866
17.0,0.2549103118896484,0.9134,0.5064195865631104,0.838
18.0,0.23891628291606903,0.9172,0.5576634588241577,0.8248
19.0,0.21367916729450226,0.9258,0.4658977683544159,0.87
20.0,0.2150314536035061,0.926,1.0029054676055909,0.738
21.0,0.18661477845907212,0.9372,0.719580455982685,0.8108
22.0,0.18616080904603005,0.9366,0.5541362264275551,0.8432
23.0,0.2658938334465027,0.9114,0.4398686107158661,0.858
24.0,0.1789749493420124,0.9414,0.45343910355567935,0.8704
25.0,0.15225617007613182,0.9488,0.5384863356724382,0.8476
26.0,0.15136784677505494,0.9474,0.6211635844945907,0.8592
27.0,0.12549424490332603,0.956,0.5392124645233154,0.856
28.0,0.13659540342092513,0.9514,0.5060943591833115,0.8736
29.0,0.12701032881140709,0.9578,0.5232781021356583,0.8516
30.0,0.1055039644613862,0.9652,0.6420825519561768,0.846
