Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,0.6623623181581497,0.848,0.24033754115104675,0.928
2.0,0.2629377238690853,0.9184,0.23893314105793834,0.9172
3.0,0.19527947885394095,0.9382,0.17115574402213096,0.9456
4.0,0.17344730966687202,0.948,0.34646139575894924,0.9012
5.0,0.2042175767213106,0.9378,0.21565450045382603,0.9392
6.0,0.126807539139688,0.963,0.36784466737508775,0.8844
7.0,0.14166103664040566,0.951,0.24963958914540707,0.9348
8.0,0.12783528952896595,0.9586,0.2748324256413529,0.916
9.0,0.09529738044142723,0.9698,0.23022267421483994,0.9284
10.0,0.10986880000978708,0.9628,0.33741165137290957,0.9096
11.0,0.13730070322155952,0.9552,0.25386056373119353,0.9292
12.0,0.1098829189479351,0.9658,0.2621817047595978,0.9172
13.0,0.11692549919113517,0.9624,0.28612432634830476,0.9192
14.0,0.08908142767101526,0.9694,0.40483125429153444,0.894
15.0,0.09657587769180537,0.97,0.25458657742142676,0.934
16.0,0.07333251729905606,0.977,0.2598286016643047,0.9312
17.0,0.0965690553560853,0.9704,0.24566758015770465,0.9312
18.0,0.04470600847229361,0.9878,0.22089154840107075,0.9396
19.0,0.05174848571615294,0.9832,0.27951255412683823,0.93
20.0,0.12087536976486445,0.9594,0.28688704488277433,0.9144
21.0,0.11922329013347625,0.9642,0.2966555798696354,0.9152
22.0,0.06588797659464181,0.9802,0.2723079502105713,0.9364
23.0,0.05562181073389948,0.9818,0.2196345230743289,0.9476
24.0,0.032533141975547186,0.9908,0.3628237012833357,0.9212
25.0,0.0693110416315496,0.9768,0.28632473850250245,0.9348
26.0,0.09689609202817083,0.9686,0.26795038325190546,0.932
27.0,0.07131018288359046,0.9794,0.28724842332303524,0.93
28.0,0.07447699430882931,0.9758,0.24675914931595325,0.9308
29.0,0.04816391292829066,0.9846,0.34215259270071985,0.9224
30.0,0.05721088799610734,0.9846,0.2326131984949112,0.94
