Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,0.6069486731052399,0.8428,0.3140664272785187,0.9056
2.0,0.2821017718434334,0.9058,0.28069993724823,0.9136
3.0,0.2787837281346321,0.911,0.1997254967480898,0.9432
4.0,0.19859605919122697,0.934,0.18483731539458967,0.9472
5.0,0.16158539383411408,0.9432,0.1596773619486019,0.954
6.0,0.13339381217956542,0.9584,0.5555626439094543,0.8364
7.0,0.11746719365715981,0.9608,0.23853977388441563,0.928
8.0,0.15012822655439376,0.9526,0.24054248485565186,0.9224
9.0,0.1321679916203022,0.958,0.19260108927860856,0.9456
10.0,0.12278241926282644,0.962,0.22405106108486653,0.9384
11.0,0.08791560465693474,0.9716,0.21304048644569704,0.9412
12.0,0.09267129348888993,0.9698,0.4091437578439713,0.888
13.0,0.07803793637156486,0.9736,0.24270262434482576,0.9252
14.0,0.1003721436932683,0.9658,0.2441412290841341,0.9368
15.0,0.050531593291461466,0.983,0.21102218724563718,0.952
16.0,0.16985377492904663,0.9518,0.194192096656379,0.9452
17.0,0.05979656535368413,0.9804,0.22623372427523136,0.9444
18.0,0.03863875084584579,0.9876,0.2820895857691765,0.928
19.0,0.08014296912774443,0.9716,0.24336905267126857,0.9352
20.0,0.05061599260345102,0.9836,0.3008231388566666,0.9312
21.0,0.04835363507047295,0.985,0.23893775368332862,0.9332
22.0,0.11732939964886754,0.9624,0.4171286305546761,0.9156
23.0,0.07135258744806051,0.977,0.2981409180692397,0.9176
24.0,0.05154734263406135,0.9822,0.22875976874362677,0.9384
25.0,0.02419018929768354,0.9922,0.2610083918988705,0.9356
26.0,0.028478788474947215,0.9894,0.253930631968379,0.9448
27.0,0.06830261167250573,0.9792,0.3831936524033546,0.9052
28.0,0.05843357321619987,0.9826,0.29697058592438697,0.9332
29.0,0.033365655242837966,0.9902,0.20684357097144893,0.9496
30.0,0.04808653313266113,0.9838,0.2662072117477655,0.952
