Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.0223034140586853,0.6178,1.487843307209015,0.5844
2.0,0.8322854135513306,0.692,0.841732767868042,0.69
3.0,0.7555551321983337,0.719,0.7357376205444336,0.7456
4.0,0.708230351638794,0.7316,0.7092594947814942,0.712
5.0,0.6543981191635132,0.7566,0.6134599637031555,0.7656
6.0,0.5965475011825562,0.7836,0.7787342140197754,0.688
7.0,0.5712240879058837,0.795,0.602820053100586,0.7596
8.0,0.5394305320739746,0.809,0.6001671024799347,0.792
9.0,0.4950567559242249,0.8206,0.6152075485229492,0.7876
10.0,0.5368759602546692,0.8062,0.49049991340637206,0.8348
11.0,0.46215615797042847,0.8324,0.5532442056655884,0.7912
12.0,0.4313224533081055,0.8434,0.5073687848091125,0.7996
13.0,0.41070573997497556,0.8554,0.7267344058990478,0.7252
14.0,0.3715975996017456,0.8718,0.9137730733633042,0.7232
15.0,0.3582105308055878,0.8746,0.49678147699832914,0.8256
16.0,0.34974083857536314,0.8752,0.44710121912956236,0.8536
17.0,0.30843437395095824,0.8956,0.5364938865944743,0.8196
18.0,0.2870489454507828,0.9,0.4925981866836548,0.8232
19.0,0.2462396990776062,0.9162,0.4783118316218257,0.8484
20.0,0.22718802709579466,0.9236,0.4293404393494129,0.8676
21.0,0.18522274391651153,0.9352,0.4316840214729309,0.8572
22.0,0.16726201556921005,0.9404,0.48756725257635114,0.8644
23.0,0.1643094434261322,0.9416,0.4408805374264717,0.8652
24.0,0.13840383576154708,0.9468,0.5096572074890137,0.8568
25.0,0.11815759387016296,0.9622,0.5451780375957489,0.838
26.0,0.09239776476621628,0.9682,0.5160785651922226,0.8752
27.0,0.13187205575704575,0.954,0.6917321758270264,0.8048
28.0,0.10427602978050708,0.9678,0.4269164932370186,0.8896
29.0,0.07342813203930855,0.9756,0.43911339848041536,0.8976
30.0,0.04429552009291947,0.9866,0.5623910060882569,0.872
